Id	Year	Genre
1169	1999	Comedy|Romance
1170	1999	Drama
1171	1998	N/A
1172	1986	Comedy|Drama
1173	1990	Drama
1174	1950	Sci-Fi
1175	1998	Adventure|Children's|Drama
1176	1993	Comedy
1177	N/A	Drama
1178	1993	Action|Drama|Mystery
1179	1999	N/A
1180	N/A	Adventure|Children's|Drama|Musical
1181	1999	Drama|Thriller
1182	1997	Drama
1183	1974	Adventure|Children's|Comedy
1184	1997	Children's|Comedy
1185	1997	N/A
1186	1996	Comedy|Drama
1187	1989	Comedy|Horror
1188	1957	Documentary
1189	1997	Thriller
1190	1995	Comedy|Drama
1191	N/A	Comedy
1192	1997	Drama
1193	1997	Drama|Romance
1194	1956	Sci-Fi
1195	1996	N/A
1196	1999	Documentary
1197	1958	Comedy|Romance
1198	1990	Horror|Thriller
1199	1995	Thriller
1200	1964	Drama
1201	1937	Drama
1202	1996	Drama|Romance
1203	1974	N/A
1204	1998	Drama
1206	1967	Comedy
1207	1996	Comedy|Drama
1208	1974	Comedy
1209	1999	Action|Sci-Fi
1210	1986	Comedy|Romance
1211	1997	Drama
1212	1987	Comedy|Horror
1213	1997	Action|Adventure
1214	1998	Comedy
1215	2000	Comedy
1216	1995	Drama
1217	1996	Romance
1218	1996	Drama
1219	1997	N/A
1220	1965	Comedy|Western
1221	N/A	Documentary
1222	1986	Drama
1223	1995	N/A
1224	1997	Comedy|Romance
1225	1937	Drama|War
1226	1995	Action|Thriller
1227	N/A	Comedy
1228	1995	Documentary
1229	1993	Drama
1230	1986	Action|War
1231	1999	Mystery
1232	1997	Drama
1233	1997	N/A
1234	1935	Thriller
1235	1978	Comedy
1236	1999	Thriller
1237	N/A	Comedy|Romance
1238	1986	Comedy
1239	1999	Comedy|Drama
1240	1995	Action|Romance|Thriller
1241	1980	Adventure|Drama|Romance
1242	1993	Drama
1243	1996	Drama
1244	1965	Action
1245	N/A	Horror
1246	1933	Drama
1247	1981	Action|Drama
1248	1997	Drama
1249	1998	Comedy
1250	N/A	Comedy
1251	1987	Horror
1252	1990	Adventure|Drama|Western
1253	N/A	Comedy|Drama
1254	N/A	Animation|Children's
1255	1994	Drama
1256	1996	Action|Horror|Sci-Fi
1257	1987	Drama
1258	1997	Action|Adventure|Children's
1259	N/A	Action
1260	1998	Comedy|Romance
1261	1950	Comedy
1262	1989	Comedy|Drama|Romance
1263	1977	War
1264	1995	Horror
1265	1993	Action|Crime|Drama
1266	1954	Musical
1267	1950	Drama
1268	1927	Drama
1269	1999	Animation|Children's
1270	1993	Comedy
1271	1998	Sci-Fi|Thriller
1272	1993	Horror|Sci-Fi|Thriller
1273	N/A	Comedy
1274	1990	Action|Thriller
1275	1986	Drama|Horror
1276	N/A	Thriller
1277	1993	Action|Sci-Fi
1278	1995	Drama
1279	1963	Drama|Western
1280	1988	Drama|Thriller
1281	1995	Drama
1282	1937	Comedy|Musical|Romance
1283	2000	Comedy|Romance
1284	N/A	Horror
1285	2000	Action|Drama|Thriller
1286	1935	Comedy|Musical|Romance
1287	1988	Drama
1288	1997	Drama
1289	1927	Drama|Romance|War
1290	1992	Animation|Children's
1291	1994	Drama
1292	1985	Comedy
1293	1968	Action|Sci-Fi
1294	1994	Drama|Mystery|Thriller
1295	1994	Comedy
1296	1998	Children's|Comedy
1297	1998	Drama
1298	1985	Comedy
1299	N/A	Adventure|Drama
1300	1972	Drama
1301	1972	Crime|Drama
1302	1990	Horror|Thriller
1303	1994	Thriller
1304	N/A	Action|Drama
1305	2000	Action|Thriller
1306	1997	N/A
1307	1994	Animation|Children's
1308	N/A	Comedy
1309	1946	Animation|Children's|Musical
1310	1993	Crime|Drama|Thriller
1311	1995	Crime|Drama
1312	2000	Comedy|Crime
1313	1995	Comedy
1314	1995	Drama
1315	1999	Drama|War
1316	1968	Drama
1317	1988	Drama
1318	1990	Action|Thriller
1319	1997	Drama
1320	1995	Adventure|Children's|Fantasy
1321	N/A	Comedy|Drama
1322	1996	Drama|Thriller
1323	N/A	Action|Sci-Fi
1324	1989	Thriller
1325	1995	Crime|Thriller
1326	1997	Drama|Romance
1327	1989	N/A
1328	2000	Drama|Romance
1329	1992	Horror
1330	1999	Comedy|Drama
1331	2000	Animation|Children's
1332	1987	Comedy|Horror
1333	1994	Adventure|Children's
1334	2000	N/A
1335	1994	N/A
1336	1992	Drama
1337	1974	Comedy|Western
1338	1958	Adventure|Drama
1339	1999	Drama
1340	1995	Animation|Children's|Musical|Romance
1341	1999	Drama
1342	N/A	Action|Comedy
1343	1999	N/A
1344	1994	Adventure|Children's|Fantasy
1345	1965	Horror
1346	1996	Horror|Thriller
1347	1991	Drama|Musical
1348	1997	Drama
1349	1929	Thriller
1350	1962	Action|Drama|War
1352	1960	Horror
1353	1999	Comedy
1354	1997	Comedy
1355	1995	N/A
1356	2000	Action|Sci-Fi
1357	1994	N/A
1358	1996	Animation|Comedy
1359	1995	Drama
1360	1998	Drama
1361	2000	Comedy|Drama
1362	N/A	N/A
1363	1993	N/A
1364	2000	Drama|Romance
1365	1993	Drama
1366	1997	N/A
1367	1994	N/A
1368	1996	N/A
1369	1998	Comedy|Drama
1370	1998	N/A
1371	1996	Crime
1372	1988	Documentary|Musical
1373	1983	Horror|Thriller
1374	1999	Comedy
1375	N/A	Drama
1376	N/A	Animation|Children's|Musical
1377	1982	Horror|Thriller
1378	N/A	Drama|Romance
1379	1990	Action|Crime|Sci-Fi
1380	1996	Documentary
1381	1941	Horror
1382	1997	Action|Adventure|Children's|Fantasy
1383	1997	Drama
1384	N/A	N/A
1385	1995	Action|Adventure|Comedy|War
1386	1994	Drama|Thriller
1387	1994	Action|Adventure|Comedy|Romance
1388	1997	Action|Comedy|Crime|Drama
1389	1988	Horror
1390	N/A	Children's|Comedy
1391	1987	Comedy|Romance
1392	1922	Horror
1393	1995	Action|Thriller
1394	1956	Crime|Film-Noir
1395	1998	Comedy
1396	1943	Comedy|Mystery
1397	1991	Drama|Romance
1398	1998	Drama
1399	1994	Drama
1400	1995	Drama
1401	1997	Drama|Sci-Fi
1402	1998	Drama
1403	1995	Comedy
1404	1997	Crime|Thriller
1405	1942	Western
1406	1997	Comedy
1407	1996	Thriller
1409	1998	Drama|Romance
1410	1985	Horror
1411	1995	Action|Comedy|Musical|Sci-Fi
1412	1997	Adventure|Children's|Drama
1413	1998	Film-Noir|Mystery|Thriller
1414	1982	Drama
1415	1993	Documentary
1416	1989	Adventure|Children's
1417	1959	Drama
1418	1999	Comedy
1419	1998	Action|Drama|War
1420	1984	Comedy
1421	1985	Comedy|Drama
1422	1997	Comedy|Drama
1423	1993	Comedy
1424	1932	Drama
1425	1997	Drama
1426	1990	Action|Comedy|Western
1427	2000	N/A
1428	1990	Horror
1429	N/A	Horror|Sci-Fi
1430	1983	Horror
1431	2000	Comedy|Horror|Thriller
1432	1996	Drama
1433	1986	Comedy
1434	1979	Drama
1435	1956	Horror|Sci-Fi
1436	1988	N/A
1437	1996	Comedy
1439	1997	Comedy|Drama
1440	N/A	Drama
1441	1956	Drama
1442	1969	Action|Adventure|War
1443	1988	Documentary
1444	2000	N/A
1445	1996	Comedy|Romance
1446	1938	Drama|Romance
1447	N/A	Musical
1448	1994	Comedy
1449	1987	Drama|Romance
1450	1995	N/A
1451	1993	Drama
1452	1995	Action|Crime|Sci-Fi
1453	1998	Comedy
1454	1971	Sci-Fi
1455	1995	Drama
1456	1995	Drama
1457	1996	Action|Adventure|Romance|Thriller
1458	N/A	Drama
1459	2000	Comedy|Thriller
1460	1995	N/A
1461	1997	Comedy|Drama
1462	N/A	Crime|Thriller
1463	1999	Drama
1464	1995	Comedy
1465	1996	Drama
1466	1997	Comedy
1467	1998	Comedy
1468	1963	Horror
1469	1997	Drama
1470	1994	Drama|Thriller
1471	1995	Mystery|Thriller
1472	1996	Drama
1473	1991	Action|Drama
1474	1989	Comedy
1475	1992	Thriller
1476	1964	Action|Western
1477	1990	N/A
1478	1995	N/A
1479	1991	Comedy
1480	1981	Children's|Comedy
1481	1982	Drama
1482	1998	Horror|Sci-Fi|Thriller
1483	1993	Comedy
1484	1986	Comedy|Romance
1485	N/A	N/A
1486	1995	Drama
1487	N/A	Drama
1488	1967	N/A
1489	1993	Action|Thriller
1491	N/A	Drama|Horror
1492	2000	Action|Horror
1493	1987	Comedy|Drama
1494	2000	Drama
1495	N/A	Documentary
1496	1959	Drama
1497	1997	Drama
1498	1996	Comedy
1499	1996	Drama|Thriller
1500	1992	Drama|Romance
1501	1988	Comedy
1502	1991	Comedy
1503	1996	Drama
1504	1951	Action|Adventure|War
1505	1998	Comedy
1506	N/A	Comedy|Romance
1507	N/A	Drama|Romance
1508	1997	Crime
1509	1994	Comedy
1510	1971	Comedy|Romance
1511	1984	Drama
1512	1999	Drama
1513	1988	Action|Comedy
1514	1993	N/A
1515	1996	Drama
1516	N/A	Drama
1517	1979	Children's|Comedy
1518	1996	Comedy
1519	1962	Drama|Western
1520	N/A	N/A
1521	1985	Comedy|Sci-Fi
1522	1992	Action|Thriller
1523	1987	Comedy|Drama
1524	1996	Drama|War
1525	1998	Adventure|Children's
1526	1978	N/A
1527	1997	Action|Thriller
1528	1975	Drama
1529	1993	Drama
1530	1995	Drama|Romance
1531	1980	Horror
1532	1999	Drama
1533	1993	Adventure|Children's|Drama|Romance
1534	1973	Action|Crime
1535	1998	Action|Drama
1536	1997	Drama
1537	1987	Action|Drama|War
1538	1994	Comedy|Drama
1539	1995	Drama
1540	1994	Action|Thriller
1541	1996	Action|Thriller
1542	1997	Documentary
1543	1936	Musical
1544	1999	Drama
1545	1995	Comedy|Drama|Romance
1546	1998	Comedy|Drama
1547	1947	Film-Noir
1548	1995	Comedy|Drama
1549	1975	Comedy|Horror|Musical|Sci-Fi
1550	1997	N/A
1551	1961	N/A
1552	1995	Thriller
1553	1981	Documentary
1554	N/A	Comedy
1555	2000	Comedy
1556	1997	Mystery|Thriller
1557	1996	Comedy
1558	1995	Drama
1559	1997	Crime|Film-Noir|Mystery|Thriller
1560	1955	Horror|Sci-Fi
1561	1926	Drama
1562	1986	Comedy|Horror
1563	N/A	Comedy|Romance
1564	1993	Comedy
1565	1996	Romance
1566	N/A	Action|Sci-Fi|Thriller
1567	1998	Drama|Thriller
1568	1994	Comedy
1569	1984	N/A
1570	1990	Action|Comedy|Sci-Fi|Thriller
1571	N/A	Drama
1572	1997	Drama|Romance|Sci-Fi
1573	1999	Crime|Drama
1574	1983	Drama
1575	1958	War
1576	N/A	Comedy|Romance
1577	1996	Mystery
1578	1998	N/A
1579	1995	Comedy
1580	1943	Adventure|War
1581	1940	Western
1582	1983	Comedy|Drama
1583	1988	Horror
1584	1999	Drama
1585	N/A	Comedy
1586	2000	N/A
1587	1996	Comedy
1588	1995	Comedy
1590	1992	N/A
1591	1994	Comedy
1592	1997	N/A
1593	1992	Comedy|Drama
1594	1967	Western
1595	1966	Drama|Romance
1596	1998	Action|Thriller
1597	1997	Comedy|Romance
1598	1998	Comedy
1599	1996	Thriller
1600	1928	Comedy
1601	1994	Comedy|Drama|Romance
1602	1997	Drama
1603	1999	N/A
1604	1994	Comedy|Romance|War
1605	1978	Drama
1606	2000	Drama
1607	N/A	N/A
1608	1964	Comedy
1609	1996	N/A
1610	1994	Comedy|Romance
1611	1982	Action|Adventure|Fantasy|Sci-Fi
1612	1985	Adventure|Fantasy|Romance
1613	1995	Comedy
1614	1986	Action|Drama|Thriller
1615	1954	N/A
1616	1997	Comedy
1617	1997	Children's|Drama
1618	1999	Documentary
1619	1995	Documentary
1620	N/A	Comedy
1621	N/A	Drama
1622	N/A	Action
1623	1997	Drama|Romance
1624	1995	Comedy
1625	1967	Animation|Children's|Comedy|Musical
1626	1987	N/A
1627	1995	Romance
1628	1993	Drama
1629	1999	Comedy
1630	1996	Comedy|Fantasy|Romance|Sci-Fi
1631	1953	Drama|Western
1632	1995	Comedy|Romance
1633	1996	Drama
1634	1995	Western
1635	1998	Comedy|Romance
1636	1986	Adventure|Comedy
1637	1985	Horror
1638	1995	Drama|Musical
1639	1995	Drama
1640	1956	Sci-Fi
1641	1998	N/A
1642	1967	Western
1643	1997	Comedy|Drama
1644	1997	Drama|Romance
1645	1995	Action|Adventure|Crime
1646	1960	Drama
1647	1996	Drama
1648	N/A	Drama|Fantasy
1649	1984	Drama
1650	1998	Comedy|Drama|Romance
1651	1979	Sci-Fi
1652	1999	Comedy
1653	1999	Animation|Children's
1654	1988	Comedy|Sci-Fi
1655	1998	Animation|Children's|Fantasy|War
1656	N/A	Adventure|Children's|Fantasy
1657	1989	Animation|Children's|Comedy|Musical|Romance
1658	1987	Action|Crime
1659	1952	Drama
1660	1989	Crime|Drama
1661	1961	Drama|War
1662	2000	Comedy|Drama
1663	1996	Comedy|Drama
1664	1985	Sci-Fi
1665	1971	Comedy
1666	1995	Drama|Romance|War
1667	1957	N/A
1668	1994	Drama|Romance|War
1669	1996	Drama
1670	N/A	Drama
1671	1994	Drama
1672	1996	Animation
1673	1992	Horror
1674	1975	Comedy|Drama
1675	1995	Drama
1676	1995	Action
1677	2000	Adventure|Drama
1678	1995	Comedy
1679	1972	Thriller
1680	1994	Drama
1681	1996	Comedy|Drama
1682	1949	Children's|Drama
1683	1998	Horror|Thriller
1684	1946	Film-Noir|Mystery
1685	1999	Comedy|Drama
1686	1995	Drama
1687	1993	Action|Comedy|War
1688	1997	Adventure|Children's
1689	1997	Drama|Romance
1690	1976	Action|Thriller
1691	1999	Comedy|Drama
1692	1994	N/A
1693	1976	Action|Adventure|Horror
1694	1993	Drama
1695	1992	Drama|Romance
1696	N/A	Mystery|Thriller
1697	1997	Drama
1698	1996	Romance
1699	1963	Comedy
1700	1997	Comedy|Romance
1701	1997	Comedy
1703	2000	Comedy
1704	1984	Drama|Sci-Fi
1705	N/A	Children's|Comedy|Western
1706	1997	N/A
1707	1999	Comedy
1708	N/A	Drama
1709	1981	Action|Drama|Mystery|Romance|Thriller
1710	1992	Children's|Musical
1711	1996	Comedy|Drama
1712	1997	Drama
1713	1997	Thriller
1714	1996	Drama
1715	1970	Action|Comedy|War
1716	1943	Western
1717	1992	Action|War
1718	1997	Crime|Thriller
1719	1994	Comedy
1720	1998	Action|Thriller
1721	1995	Drama
1722	1997	Action|Adventure
1723	1997	Comedy|War
1724	1996	Comedy|Drama
1725	1954	Mystery|Thriller
1726	1997	Children's|Comedy|Fantasy
1727	1969	Action
1728	1998	Drama
1729	1998	Drama
1730	N/A	N/A
1731	N/A	Sci-Fi|Thriller
1732	1995	Comedy
1733	1999	Comedy|Drama
1734	1992	Drama
1735	1981	Horror
1736	1995	Comedy
1737	1995	N/A
1738	1997	Drama
1739	1955	Film-Noir
1740	1972	Adventure|Thriller
1741	1971	Comedy|War
1742	1992	Comedy
1743	1997	N/A
1744	1973	Drama
1745	1995	Documentary
1746	1989	Adventure|Children's|Comedy|Fantasy|Sci-Fi
1747	1995	Comedy
1748	1989	Comedy
1749	1982	Action|Drama
1750	1995	Drama|Sci-Fi
1751	1962	Musical
1752	1989	Drama
1753	1998	Documentary
1754	1996	N/A
1755	1996	Romance
1756	1996	Comedy|Drama|Romance
1757	1993	Comedy|Thriller
1758	N/A	Horror
1759	2000	Drama|Musical
1760	1971	Drama|Western
1761	1991	Comedy|Romance
1762	1997	N/A
1763	1988	Comedy
1764	1981	Horror
1765	1942	Drama|Romance|War
1766	1996	N/A
1767	1996	Comedy|Drama
1768	1998	Drama
1769	1992	Action
1770	1996	Adventure|Children's
1771	1999	Drama
1772	1988	Drama
1773	1994	N/A
1774	1963	Comedy
1775	1999	N/A
1776	1993	Action|Drama
1777	1998	N/A
1778	1994	Comedy|Drama
1779	1992	Drama
1780	1988	Action
1781	1989	Comedy|Sci-Fi
1782	1993	Drama
1783	N/A	Comedy|Musical
1784	1959	Horror
1786	1995	Adventure|Children's
1787	1998	Action|Crime|Romance
1788	1993	Drama
1789	1980	Comedy
1790	1995	Comedy|Romance
1791	1996	Comedy
1792	2000	Action|Comedy
1793	1997	Drama
1794	1977	Adventure|Children's|Comedy
1795	1993	Drama
1796	1949	Drama
1797	1995	Drama|Thriller
1798	1964	Drama
1799	1986	Drama
1800	1927	Comedy|Romance
1801	1995	N/A
1802	N/A	Drama|Romance
1803	1995	Action
1804	1996	Comedy|Romance
1805	1936	Drama
1806	1980	Comedy
1807	1999	Drama
1808	1998	Horror|Sci-Fi
1809	1992	Drama
1810	N/A	Comedy|Crime
1811	1955	Comedy|Drama|War
1812	1992	Comedy
1813	1997	Crime|Drama
1814	1995	Drama
1815	1993	N/A
1816	1999	N/A
1817	1998	N/A
1818	1997	Drama
1819	N/A	Adventure|Drama
1820	1989	Action|Adventure|Sci-Fi
1821	1993	Drama|Thriller
1822	1958	Comedy|Drama
1823	1996	Action|Crime
1824	N/A	Comedy|Romance
1825	1999	Comedy|Drama
1826	1990	Animation|Children's
1827	1991	Comedy|Drama|Romance
1828	1993	Comedy|Drama
1829	1981	N/A
1830	1982	Horror
1831	1999	Comedy
1832	1999	Drama
1833	1974	Comedy|Western
1834	1994	Drama|Thriller
1835	1996	Comedy
1836	1983	Comedy
1837	1973	Drama
1838	1992	Horror
1839	1993	Action|Adventure|Crime|Thriller
1840	1995	Drama
1841	1984	N/A
1842	2000	Action
1843	1965	Action|Comedy|Drama
1844	1992	Action|Sci-Fi
1845	1991	Horror
1846	1996	Documentary
1847	1998	Drama|Romance
1848	1996	Adventure|Animation|Children's|Comedy|Fantasy
1849	1980	Horror
1850	1956	Western
1851	1965	Comedy|Musical
1852	1997	Drama
1853	1995	Comedy|Drama
1854	1931	Horror
1855	1996	N/A
1856	1998	N/A
1857	1985	Horror|Sci-Fi
1858	1981	N/A
1859	1997	N/A
1860	1985	N/A
1861	1993	Comedy|Romance
1862	1990	Drama|Romance
1863	1991	Comedy
1864	1984	N/A
1865	N/A	Action|Drama|War
1866	1997	Action|Adventure|Thriller
1867	1997	Action|Adventure|Thriller
1868	1999	Documentary
1869	1993	Drama
1870	N/A	Thriller
1871	1999	Comedy|Drama|Sci-Fi
1872	1999	Drama
1873	1991	Comedy
1874	1969	Western
1875	1969	Crime|Thriller
1876	1995	Drama|Thriller
1877	1995	Drama
1878	1997	N/A
1879	1994	Action|Sci-Fi
1880	N/A	Action|Horror
1881	1988	Adventure|Comedy
1882	1984	Horror|Thriller
1883	1997	Thriller
1884	1987	Comedy|Sci-Fi
1885	1998	Comedy
1886	1999	Children's|Comedy
1887	1967	Crime|Drama
1888	1993	Comedy|Romance
1889	1962	Drama
1890	1968	Horror
1891	1968	Crime
1892	2000	Comedy
1893	1997	Adventure|Romance
1894	1975	Action|Horror
1895	1979	Mystery|Sci-Fi
1896	N/A	Action
1897	1995	Action
1898	N/A	N/A
1899	1989	Drama
1900	1994	Drama|Romance
1901	2000	Drama|Thriller
1902	1989	N/A
1903	1982	Children's|Drama|Fantasy|Sci-Fi
1904	1996	Action|Sci-Fi|Thriller
1905	1995	Drama|Thriller|War
1906	1998	Thriller
1907	1947	Comedy
1908	1974	Adventure|Children's
1909	1994	Action|Thriller
1910	1997	Drama
1911	1972	Adventure
1912	1998	Drama|Romance
1913	1996	N/A
1914	1977	Adventure|Animation|Children's|Musical
1915	1979	Comedy
1916	1995	Drama
1917	1978	Drama
1918	1996	Action|Drama
1919	1993	Action
1920	1934	Mystery
1921	N/A	Drama
1922	1926	Sci-Fi
1923	1992	Action
1924	1994	Crime|Drama
1925	1962	Film-Noir|Thriller
1926	1997	Drama
1927	1996	Action
1928	1984	Drama
1929	1989	Horror
1930	1992	Documentary
1931	1981	Adventure
1932	1994	Drama|Fantasy|Romance|Thriller
1933	1994	Comedy|Drama
1934	1973	Comedy|Drama|Western
1935	N/A	N/A
1936	1995	Action|Adventure|Comedy|Crime
1937	1992	Drama
1938	1986	Drama
1939	1945	Drama|Romance
1940	1997	Drama
1941	1957	N/A
1942	1999	Animation|Comedy
1943	1999	Drama
1944	1997	Comedy
1945	1994	Drama|Thriller
1946	1980	Drama|Thriller
1947	1996	Drama
1948	1975	Comedy|Crime|Drama
1949	1987	Drama
1950	1982	Drama
1951	1996	Drama
1952	N/A	Comedy
1953	N/A	Comedy
1954	1968	Comedy
1955	1995	N/A
1956	N/A	Comedy|Drama
1957	1999	Thriller
1958	1999	Comedy
1959	1990	Horror
1960	N/A	Drama|War
1961	N/A	Drama
1962	1997	Sci-Fi
1963	N/A	Horror
1964	1996	Action|Adventure|Thriller
1965	1995	N/A
1966	1970	Children's|Comedy
1967	1998	Drama|Thriller
1968	1997	Comedy|Drama
1969	1959	Animation|Children's|Musical
1970	1971	Action|Crime|Drama|Thriller
1971	1992	Action|Comedy|Fantasy
1972	1995	Comedy
1973	1997	Comedy|Drama
1974	1981	N/A
1975	1957	Children's|Drama
1976	1998	Drama
1977	1972	Western
1978	1940	Comedy
1979	1994	Adventure|Drama
1980	1998	Comedy|Crime|Thriller
1981	1997	Comedy
1982	1997	Adventure|Children's
1983	1992	Western
1984	1995	Drama
1985	1994	Comedy|Drama|Romance
1986	1945	Drama
1987	1987	Comedy
1988	N/A	Drama
1989	1997	Drama|Romance
1990	1993	Action
1991	2000	Comedy
1993	1972	Action|Sci-Fi
1994	1988	Comedy
1995	1995	N/A
1996	1975	N/A
1997	1999	Documentary
1998	1998	Crime|Drama
1999	1996	Children's|Drama|Fantasy
2000	1995	Comedy|Crime|Drama
2001	1985	Adventure|Children's|Fantasy|Sci-Fi
2002	1960	N/A
2003	2000	Comedy|Horror|Thriller
2004	1997	N/A
2005	1995	Adventure|Children's
2006	1941	Drama
2007	1998	Action|Mystery|Thriller
2008	1996	Drama
2009	1999	Action|Thriller
2010	1992	Action|Crime
2011	N/A	Children's|Comedy
2012	1994	Adventure|Children's|Romance
2013	1997	Drama
2014	N/A	Comedy
2015	1994	Drama
2016	1997	N/A
2017	1995	Mystery|Thriller
2018	1998	Comedy
2019	2000	Comedy|Drama
2020	1953	Drama|Romance|War
2021	1996	Crime|Horror
2022	1958	Horror|Sci-Fi
2023	1955	Drama
2024	1994	Comedy
2025	1996	Drama
2026	1968	Animation|Musical
2027	1992	Comedy|Drama
2028	1993	Crime|Drama
2029	1997	Drama
2030	1999	Drama
2031	1934	Thriller
2032	1989	Action|Drama|War
2033	1999	Drama
2034	1994	Horror
2035	1993	Comedy
2036	1993	Action|Drama
2037	1998	Action|Drama
2038	1999	Drama
2039	1994	Drama
2040	1990	Crime|Drama
2041	1999	N/A
2042	N/A	Drama
2043	1997	Documentary
2044	1993	N/A
2045	1996	Drama
2046	1998	Drama
2047	1993	N/A
2048	1986	Drama
2049	1991	Comedy|Romance
2050	1998	Comedy|Thriller
2051	1993	Drama
2052	1994	N/A
2053	1997	N/A
2054	1994	N/A
2055	1997	Comedy|Romance
2056	1998	Comedy|Romance
2057	1983	Action|Adventure|Romance|Sci-Fi|War
2058	1994	Drama
2059	1984	N/A
2060	1994	Comedy|Drama
2061	1985	Action|Drama
2062	1966	Western
2063	1996	Comedy
2064	1998	Comedy
2065	1993	Action|Adventure|Comedy
2066	1986	Action
2067	1999	Drama|Horror
2068	1999	Action|Adventure|Fantasy|Sci-Fi
2070	1984	Action|War
2071	N/A	Drama
2072	1999	Romance|Thriller
2073	1993	Comedy|Sci-Fi
2074	1997	Mystery|Thriller
2075	1991	Drama
2076	1995	Action|Adventure
2077	2000	Comedy|Drama
2078	1978	Mystery|Thriller
2079	N/A	Crime|Horror
2080	1967	N/A
2081	1994	Drama
2082	2000	Documentary
2083	1996	Drama
2084	2000	Drama|Thriller
2085	1955	Film-Noir
2086	1986	N/A
2087	1998	Horror
2088	1998	Drama
2089	2000	N/A
2090	1977	Comedy|Romance
2091	1997	Action|Comedy
2092	1995	Comedy|Drama
2093	N/A	Comedy|Romance
2094	1998	Drama|Romance
2095	1992	Action|Comedy|Crime|Drama
2096	2000	Documentary
2097	1999	N/A
2098	1978	Drama
2099	1964	Children's|Comedy|Musical
2100	N/A	Comedy
2101	1992	Drama|Thriller
2102	N/A	Drama
2103	N/A	Drama
2104	1996	Drama
2105	1998	Action|Comedy|Musical
2106	1997	Sci-Fi|Thriller
2107	1999	Comedy|Drama
2108	1945	War
2109	1949	Romance
2110	1995	Drama
2111	1997	Drama
2112	1999	Comedy|Thriller
2113	2000	Drama
2114	1987	Comedy
2115	1988	Comedy
2116	1975	Drama|Musical
2117	1981	Action|Adventure|Drama
2118	1990	Comedy|Drama
2119	1984	Action|Adventure
2120	1982	Comedy
2121	1995	Drama|Sci-Fi
2122	1995	Comedy
2123	1998	Comedy|Drama
2124	1996	Horror
2125	1995	Drama
2126	1995	Comedy|Drama
2127	1997	Comedy|Romance
2128	1999	Comedy
2129	1999	Drama
2130	1985	Comedy|Drama|Romance
2131	1995	N/A
2132	N/A	Drama
2133	1993	N/A
2134	1999	Documentary
2135	1997	Comedy|Drama
2136	N/A	Drama
2137	2000	N/A
2138	1981	Drama|Horror
2139	1996	Drama
2140	2000	Thriller
2141	1997	Comedy
2142	1994	Action
2143	1997	Comedy|Romance
2144	1940	N/A
2146	1979	Drama|Thriller
2147	1995	Adventure|Romance
2148	1999	Documentary
2149	1996	Documentary
2150	1994	Drama
2151	1992	Drama
2152	1996	Drama|Romance|War
2153	1984	Drama
2154	1996	Adventure|Children's
2156	1995	Documentary
2157	1981	Action|Drama|Fantasy|Romance
2158	1987	Comedy|Drama
2159	1992	Comedy
2160	N/A	Action|Comedy
2161	1985	N/A
2162	1987	Comedy|Drama|Romance
2163	1995	Comedy
2164	2000	Comedy
2165	1995	War
2166	1998	Drama|Mystery|Romance
2167	N/A	Horror
2168	1998	Drama|Sci-Fi
2169	N/A	Thriller
2170	1996	N/A
2171	1998	Drama
2172	1948	N/A
2173	1986	Horror
2174	2000	N/A
2175	1941	Drama
2176	1999	Comedy
2177	1993	Drama
2178	1996	Drama|Thriller
2179	1958	Horror|Sci-Fi
2180	1996	N/A
2181	1998	Comedy
2182	2000	Comedy
2183	1969	Comedy
2184	1998	Crime
2185	1984	N/A
2186	1983	Action|Horror
2188	1942	Horror
2189	1958	Drama
2190	1992	Action|Crime|Thriller
2191	N/A	Drama
2192	1996	N/A
2193	1997	N/A
2194	N/A	Thriller
2195	1981	Action
2196	1973	Horror
2197	1997	N/A
2198	1996	Crime|Drama|Romance|Thriller
2199	1984	Comedy|Horror
2200	1994	Drama
2201	1998	Comedy
2202	1998	Drama|Romance
2203	1974	Horror
2204	1998	Drama
2205	1996	N/A
2206	1942	N/A
2207	N/A	Drama
2208	1961	Children's|Comedy|Fantasy
2209	1985	Comedy|Mystery
2210	1960	Comedy|Drama
2211	1986	Horror
2212	1989	Action|Adventure|Crime|Drama
2213	N/A	Drama
2214	1998	Documentary
2215	1994	N/A
2216	1981	Animation|Children's
2217	1994	Comedy|Drama
2218	1993	Comedy|Romance|Thriller
2219	1959	Comedy|Crime
2220	1981	Drama
2221	1997	Drama
2222	1994	Adventure|Children's
2223	1988	Drama
2224	1987	Action|Sci-Fi|Thriller
2225	1943	Drama|Thriller
2226	1997	Comedy
2227	1957	Comedy
2228	1998	Documentary
2229	1987	Action|Crime|Sci-Fi
2230	1998	Drama
2231	N/A	Comedy
2232	1997	Children's|Comedy|Mystery
2233	1995	Documentary
2234	1947	Film-Noir
2235	1996	Drama
2236	1997	Action|Adventure|Crime
2237	1959	Horror
2238	1996	Drama
2239	1999	Drama
2240	1977	Adventure|Children's|Comedy
2241	1996	Animation|Children's|Comedy
2242	1974	Action
2243	1999	N/A
2244	1995	Drama|Romance
2245	1991	Comedy|Drama
2246	1974	Action|Crime|Drama
2247	1997	Comedy
2248	1976	Western
2249	1995	Drama|Romance
2250	1999	Documentary
2251	1983	Documentary|War
2252	1993	N/A
2253	1997	Documentary
2254	1980	Action|Adventure|Drama|Sci-Fi|War
