ID	Gender	Age	Occupation
1561	M	25	12
1562	M	18	4
1563	M	56	16
1564	F	50	2
1565	M	50	11
1566	F	N/A	0
1567	M	35	16
1568	M	25	1
1569	M	18	20
1570	N/A	25	12
1571	M	18	4
1572	N/A	25	15
1573	F	18	4
1574	M	N/A	7
1575	F	50	3
1576	M	25	14
1577	M	18	0
1578	M	25	4
1579	F	18	4
1580	F	50	0
1581	M	45	1
1582	M	N/A	20
1583	M	45	7
1584	M	50	13
1585	M	50	1
1586	M	45	11
1587	M	N/A	4
1588	N/A	35	20
1589	M	N/A	12
1590	M	25	12
1591	F	N/A	8
1592	F	50	2
1593	F	35	1
1594	M	N/A	0
1595	N/A	45	N/A
1596	M	N/A	12
1597	N/A	56	1
1598	M	25	N/A
1599	M	N/A	N/A
1600	M	50	6
1601	N/A	35	0
1602	M	56	14
1603	M	18	4
1604	M	35	17
1605	N/A	56	6
1606	M	N/A	20
1607	N/A	N/A	4
1608	M	18	17
1609	M	35	0
1610	F	1	0
1611	M	N/A	1
1612	M	18	N/A
1613	F	18	0
1614	N/A	56	1
1615	M	50	18
1616	M	N/A	17
1617	M	18	4
1618	M	35	14
1619	M	56	13
1620	F	50	4
1621	M	25	0
1622	N/A	35	7
1623	M	18	N/A
1624	M	25	7
1625	N/A	25	0
1626	M	N/A	0
1627	F	18	4
1628	F	18	N/A
1629	M	50	N/A
1630	F	35	1
1631	M	35	7
1632	M	18	15
1633	M	25	1
1634	F	25	N/A
1635	M	56	13
1636	M	45	16
1637	M	45	15
1638	M	25	17
1639	F	25	1
1640	M	25	7
1641	F	56	7
1642	M	18	18
1643	F	35	7
1644	N/A	35	3
1645	F	25	15
1646	F	45	11
1647	M	25	10
1648	F	18	4
1649	F	45	1
1650	F	25	N/A
1651	F	25	4
1652	F	35	16
1653	M	1	N/A
1654	F	45	3
1655	M	25	12
1656	F	18	0
1657	M	25	4
1658	M	56	11
1659	M	25	12
1660	F	18	1
1661	M	N/A	N/A
1662	M	25	2
1663	N/A	45	7
1664	M	18	17
1665	M	25	6
1666	M	25	6
1667	M	25	7
1668	M	35	N/A
1669	M	35	1
1670	F	35	6
1671	M	35	0
1672	M	18	N/A
1673	M	35	N/A
1674	F	35	20
1675	M	N/A	N/A
1676	M	50	6
1677	F	25	5
1678	M	35	11
1679	M	18	0
1680	M	N/A	17
1681	F	25	0
1682	M	45	1
1683	M	25	12
1684	M	35	6
1685	M	25	0
1686	F	25	6
1687	M	35	1
1688	M	25	20
1689	M	50	18
1690	F	45	1
1691	F	25	1
1692	N/A	35	0
1693	M	25	4
1694	M	18	20
1695	M	45	N/A
1696	M	18	4
1697	M	N/A	17
1698	M	1	10
1699	N/A	18	4
1700	F	35	9
1701	M	18	4
1702	M	25	4
1703	M	35	7
1704	M	18	4
1705	N/A	25	2
1706	M	45	N/A
1707	F	50	3
1708	N/A	18	4
1709	M	25	0
1710	M	N/A	0
1711	M	25	0
1712	M	25	1
1713	F	25	4
1714	M	25	15
1715	M	50	15
1716	N/A	25	16
1717	F	18	N/A
1718	N/A	25	20
1719	M	18	4
1720	N/A	25	19
1721	F	45	N/A
1722	F	18	4
1723	F	56	3
1724	M	25	12
1725	M	45	N/A
1726	M	18	17
1727	N/A	35	7
1728	M	45	17
1729	M	1	0
1730	M	N/A	4
1731	M	25	0
1732	F	25	17
1733	M	18	4
1734	M	25	17
1735	F	35	1
1736	M	25	17
1737	M	25	5
1738	M	18	19
1739	M	50	14
1740	M	18	12
1741	M	35	16
1742	F	1	10
1743	M	18	12
1744	M	35	N/A
1745	F	25	1
1746	M	25	N/A
1747	M	35	14
1748	F	25	N/A
1749	N/A	25	1
1750	M	45	17
1751	M	18	0
1752	M	35	0
1753	M	56	16
1754	M	25	0
1755	M	35	7
1756	M	25	20
1757	M	25	17
1758	M	50	12
1759	M	25	4
1760	M	25	N/A
1761	M	N/A	5
1762	F	45	1
1763	M	18	4
1764	M	35	7
1765	M	56	13
1766	F	56	13
1767	M	45	1
1768	M	50	7
1769	M	45	12
1770	M	35	17
1771	M	45	7
1772	N/A	18	4
1773	M	35	3
1774	M	35	N/A
1775	M	N/A	17
1776	N/A	35	12
1777	M	N/A	2
1778	N/A	25	1
1779	F	18	4
1780	M	35	0
1781	M	56	14
1782	M	45	0
1783	F	25	0
1784	N/A	45	2
1785	M	18	4
1786	M	25	1
1787	M	50	12
1788	M	35	2
1789	F	45	20
1790	F	35	N/A
1791	M	25	17
1792	M	25	N/A
1793	M	N/A	4
1794	M	35	N/A
1795	F	1	10
1796	M	18	17
1797	F	35	14
1798	M	25	0
1799	F	56	1
1800	M	35	12
1801	F	35	1
1802	F	25	N/A
1803	N/A	18	4
1804	M	1	10
1805	M	18	0
1806	M	25	12
1807	M	18	4
1808	M	25	0
1809	F	25	11
1810	M	25	1
1811	M	45	1
1812	F	25	N/A
1813	N/A	25	0
1814	M	18	N/A
1815	F	56	N/A
1816	M	35	14
1817	M	18	14
1818	M	56	1
1819	M	25	1
1820	M	18	17
1821	M	35	1
1822	M	45	12
1823	M	45	13
1824	F	25	14
1825	M	25	7
1826	M	56	7
1827	M	25	2
1828	M	50	7
1829	M	18	16
1830	M	N/A	2
1831	M	35	1
1832	M	18	0
1833	M	56	7
1834	M	N/A	10
1835	M	56	16
1836	M	N/A	7
1837	M	18	10
1838	M	18	4
1839	M	35	16
1840	M	25	12
1841	F	35	9
1842	M	25	2
1843	M	45	7
1844	M	45	2
1845	N/A	25	N/A
1846	M	18	4
1847	N/A	25	N/A
1848	M	N/A	13
1849	M	1	17
1850	N/A	1	10
1851	F	25	15
1852	M	18	0
1853	F	50	1
1854	F	25	0
1855	N/A	35	0
1856	M	N/A	19
1857	N/A	1	10
1858	F	56	1
1859	M	18	N/A
1860	F	35	17
1861	M	N/A	12
1862	N/A	25	18
1863	F	18	4
1864	M	25	4
1865	M	56	1
1866	N/A	25	7
1867	M	18	10
1868	N/A	50	1
1869	F	25	12
1870	M	35	N/A
1871	N/A	25	0
1872	M	25	14
1873	M	25	2
1874	M	25	15
1875	F	35	N/A
1876	N/A	50	1
1877	M	25	14
1878	M	35	12
1879	N/A	18	N/A
1880	M	50	13
1881	M	25	15
1882	N/A	45	2
1883	F	25	0
1884	M	35	12
1885	M	18	N/A
1886	M	18	4
1887	F	25	11
1888	F	18	0
1889	F	56	0
1890	M	25	12
1891	F	35	7
1892	M	18	4
1893	M	25	N/A
1894	M	25	14
1895	N/A	N/A	17
1896	F	N/A	6
1897	N/A	18	4
1898	M	45	14
1899	M	25	4
1900	M	18	4
1901	M	25	0
1902	N/A	56	17
1903	F	25	7
1904	M	35	0
1905	M	18	4
1906	N/A	N/A	4
1907	M	56	0
1908	F	50	3
1909	F	35	1
1910	M	35	0
1911	M	18	17
1912	M	35	N/A
1913	M	35	15
1914	F	25	7
1915	M	18	0
1916	M	25	0
1917	M	18	19
1918	F	35	6
1919	M	35	5
1920	M	45	1
1921	M	35	17
1922	M	25	12
1923	M	25	12
1924	M	N/A	4
1925	N/A	25	12
1926	M	35	20
1927	N/A	25	3
1928	F	50	16
1929	M	35	6
1930	M	N/A	4
1931	F	50	2
1932	M	56	0
1933	N/A	25	7
1934	N/A	35	7
1935	M	50	7
1936	M	18	4
1937	M	25	12
1938	N/A	25	12
1939	M	25	2
1940	N/A	25	4
1941	M	25	2
1942	M	56	17
1943	N/A	18	20
1944	M	25	3
1945	M	50	3
1946	M	25	0
1947	M	25	N/A
1948	M	25	4
1949	M	35	2
1950	M	25	0
1951	M	18	4
1952	N/A	18	10
1953	M	25	12
1954	F	18	N/A
1955	M	50	14
1956	M	25	20
1957	F	18	2
1958	N/A	18	N/A
1959	F	N/A	0
1960	M	18	12
1961	N/A	45	13
1962	M	N/A	17
1963	M	18	18
1964	F	45	N/A
1965	F	18	16
1966	M	25	16
1967	N/A	25	3
1968	M	35	2
1969	M	45	20
1970	M	N/A	17
1971	M	25	17
1972	M	25	7
1973	M	45	17
1974	F	35	N/A
1975	N/A	25	5
1976	N/A	1	N/A
1977	M	45	1
1978	M	45	12
1979	F	25	7
1980	M	25	7
1981	F	25	15
1982	F	18	4
1983	M	18	7
1984	N/A	25	17
1985	M	N/A	19
1986	M	25	N/A
1987	M	25	17
1988	N/A	25	17
1989	M	25	2
1990	M	45	N/A
1991	M	35	1
1992	M	25	1
1993	M	35	7
1994	M	25	N/A
1995	F	35	7
1996	M	18	17
1997	M	25	7
1998	M	N/A	0
1999	F	56	0
2000	M	25	17
2001	M	1	10
2002	F	45	9
2003	F	25	3
2004	F	25	17
2005	M	25	0
2006	M	45	20
2007	F	25	9
2008	M	35	17
2009	M	25	N/A
2010	F	35	6
2011	M	18	12
2012	F	18	9
2013	F	25	7
2014	F	45	N/A
2015	M	35	17
2016	M	18	4
2017	F	45	4
2018	N/A	45	7
2019	N/A	1	19
2020	M	35	7
2021	F	25	3
2022	F	50	7
2023	M	35	N/A
2024	M	N/A	5
2025	N/A	25	12
2026	F	25	N/A
2027	F	25	0
2028	M	18	4
2029	F	50	7
2030	M	18	4
2031	M	25	6
2032	M	35	0
2033	F	25	17
2034	F	25	3
2035	M	56	2
2036	F	25	7
2037	N/A	25	0
2038	M	18	4
2039	F	25	N/A
2040	M	N/A	4
2041	M	N/A	11
2042	F	35	6
2043	M	1	0
2044	N/A	25	19
2045	F	25	N/A
2046	M	25	0
2047	F	35	0
2048	F	18	9
2049	M	25	20
2050	M	25	15
2051	M	35	6
2052	F	25	6
2053	M	18	4
2054	M	25	11
2055	M	25	3
2056	F	N/A	12
2057	F	25	4
2058	M	50	7
2059	M	N/A	0
2060	M	18	4
2061	M	25	12
2062	M	25	N/A
2063	M	25	15
2064	M	25	17
2065	M	N/A	0
2066	M	1	0
2067	F	25	0
2068	N/A	1	17
2069	M	N/A	17
2070	M	25	7
2071	M	35	7
2072	M	25	17
2073	F	50	16
2074	M	50	17
2075	M	25	15
2076	M	35	7
2077	F	35	1
2078	M	35	0
2079	M	35	N/A
2080	M	18	4
2081	M	18	4
2082	M	25	20
2083	M	18	15
2084	M	25	7
2085	F	25	4
2086	N/A	35	12
2087	N/A	18	18
2088	M	35	17
2089	F	45	N/A
2090	F	50	7
2091	M	18	4
2092	M	25	4
2093	M	25	11
2094	M	25	17
2095	F	N/A	14
2096	F	1	10
2097	M	35	17
2098	M	45	0
2099	F	18	1
2100	M	N/A	1
2101	M	25	1
2102	M	45	5
2103	M	N/A	12
2104	F	45	1
2105	M	25	0
2106	M	25	0
2107	M	25	12
2108	M	18	4
2109	M	N/A	0
2110	M	25	11
2111	M	25	0
2112	M	25	12
2113	M	N/A	1
2114	F	25	2
2115	M	18	17
2116	M	N/A	14
2117	M	18	4
2118	M	56	1
2119	M	18	12
2120	M	35	17
2121	M	25	3
2122	M	25	7
2123	F	56	13
2124	M	25	4
2125	F	18	4
2126	N/A	25	15
2127	F	45	2
2128	M	25	18
2129	F	N/A	N/A
2130	M	18	4
2131	M	25	8
2132	F	25	N/A
2133	M	25	6
2134	M	25	0
2135	M	56	1
2136	M	1	10
2137	M	18	N/A
2138	N/A	25	4
2139	M	N/A	4
2140	M	18	4
2141	M	18	20
2142	M	18	4
2143	F	35	0
2144	F	50	7
2145	F	1	N/A
2146	M	25	3
2147	N/A	56	N/A
2148	M	45	17
2149	M	25	17
2150	M	56	17
2151	M	25	12
2152	M	18	4
2153	F	25	6
2154	F	50	1
2155	M	35	14
2156	M	18	7
2157	M	56	7
2158	F	25	4
2159	F	50	7
2160	M	56	13
2161	M	25	1
2162	N/A	25	4
2163	M	25	11
2164	N/A	50	7
2165	M	N/A	0
2166	M	18	7
2167	M	18	4
2168	M	25	0
2169	M	25	2
2170	M	25	16
2171	M	N/A	15
2172	F	35	1
2173	M	35	2
2174	M	25	5
2175	M	18	4
2176	M	56	13
2177	M	N/A	12
2178	M	35	7
2179	M	56	6
2180	M	25	15
2181	F	25	4
2182	M	56	1
2183	M	18	4
2184	M	45	0
2185	F	N/A	9
2186	M	25	16
2187	M	50	11
2188	F	25	17
2189	M	45	6
2190	F	35	20
2191	F	25	6
2192	M	25	N/A
2193	M	25	14
2194	M	1	N/A
2195	M	25	16
2196	M	56	6
2197	F	35	9
2198	M	35	17
2199	F	N/A	13
2200	M	N/A	7
2201	F	56	0
2202	M	35	16
2203	M	25	20
2204	F	50	0
2205	M	18	4
2206	M	N/A	12
2207	N/A	18	4
2208	M	35	1
2209	N/A	18	4
2210	F	25	0
2211	M	25	20
2212	M	50	1
2213	M	N/A	N/A
2214	M	45	20
2215	M	N/A	N/A
2216	M	50	12
2217	F	25	1
2218	M	45	17
2219	F	35	14
2220	N/A	25	14
2221	F	25	7
2222	F	45	20
2223	F	1	10
2224	M	35	12
2225	M	25	20
2226	M	18	7
2227	M	N/A	N/A
2228	M	18	4
2229	M	25	2
2230	M	25	7
2231	N/A	25	4
2232	N/A	25	14
2233	F	50	3
2234	M	35	7
2235	M	18	4
2236	M	45	13
2237	M	18	10
2238	N/A	1	10
2239	M	45	N/A
2240	M	18	4
2241	M	25	2
2242	F	N/A	14
2243	M	1	10
2244	M	25	18
2245	M	N/A	N/A
2246	M	45	7
2247	F	25	9
2248	F	35	7
2249	N/A	35	7
2250	M	18	15
2251	M	25	16
2252	M	45	16
2253	M	56	13
2254	F	N/A	12
2255	M	50	7
2256	F	25	1
2257	M	N/A	0
2258	M	56	3
2259	F	1	10
2260	M	35	7
2261	N/A	25	12
2262	M	50	14
2263	F	18	4
2264	N/A	25	4
2265	M	18	4
2266	M	45	15
2267	F	45	0
2268	M	35	11
2269	M	N/A	14
2270	M	35	12
2271	M	18	0
2272	M	25	N/A
2273	M	25	6
2274	M	18	4
2275	F	35	9
2276	M	25	3
2277	M	50	17
2278	N/A	35	N/A
2279	N/A	25	0
2280	M	25	0
2281	M	18	4
2282	F	35	14
2283	M	25	7
2284	M	35	16
2285	M	35	20
2286	M	45	7
2287	M	25	7
2288	F	25	4
2289	M	18	4
2290	M	18	4
2291	M	25	4
2292	F	35	15
2293	M	N/A	N/A
2294	M	35	20
2295	N/A	25	6
2296	M	25	17
2297	M	N/A	12
2298	F	25	0
2299	M	35	17
2300	M	25	2
2301	F	25	7
2302	M	18	4
2303	M	35	0
2304	N/A	45	0
2305	M	50	16
2306	F	N/A	N/A
2307	M	25	7
2308	M	25	N/A
2309	F	N/A	14
2310	M	25	12
2311	M	56	13
2312	F	N/A	9
2313	M	N/A	17
2314	M	N/A	4
2315	M	18	17
2316	F	18	N/A
2317	M	25	17
2318	M	45	2
2319	M	50	12
2320	M	1	10
2321	F	35	3
2322	M	50	12
2323	M	18	3
2324	M	N/A	N/A
2325	M	56	13
2326	F	18	4
2327	M	35	6
2328	F	25	4
2329	F	1	N/A
2330	N/A	35	7
2331	M	18	5
2332	M	50	18
2333	N/A	18	4
2334	M	25	7
2335	M	35	18
2336	F	56	0
2337	F	45	5
2338	M	25	N/A
2339	M	50	17
2340	F	50	6
2341	F	25	3
2342	F	45	3
2343	M	18	4
2344	M	25	7
2345	F	45	7
2346	N/A	18	4
2347	M	18	4
2348	M	25	7
2349	N/A	25	17
2350	M	25	20
2351	M	45	0
2352	F	35	7
2353	M	25	17
2354	M	25	17
2355	F	25	0
2356	M	25	0
2357	N/A	35	14
2358	F	35	0
2359	M	35	6
2360	F	35	20
2361	N/A	35	N/A
2362	F	25	2
2363	M	56	7
2364	M	25	12
2365	M	45	7
2366	M	25	16
2367	M	25	3
2368	M	25	5
2369	M	1	N/A
2370	F	18	N/A
2371	M	25	0
2372	F	35	20
2373	M	25	17
2374	M	45	7
2375	F	N/A	0
2376	M	35	18
2377	F	35	3
2378	N/A	35	7
2379	M	25	0
2380	M	56	13
2381	M	25	7
2382	N/A	50	7
2383	F	25	4
2384	M	25	N/A
2385	F	N/A	N/A
2386	N/A	25	0
2387	F	N/A	17
2388	M	18	4
2389	F	N/A	1
2390	F	25	N/A
2391	F	N/A	9
2392	F	25	14
2393	M	35	7
2394	M	25	15
2395	F	25	7
2396	N/A	25	0
2397	M	25	12
2398	M	56	13
2399	M	25	11
2400	M	35	1
2401	F	N/A	14
2402	M	25	12
2403	F	35	20
2404	M	56	16
2405	F	35	N/A
2406	F	35	6
2407	M	25	20
2408	F	18	1
2409	F	N/A	6
2410	M	25	14
2411	M	25	0
2412	M	25	7
2413	M	56	1
2414	M	18	19
2415	N/A	35	14
2416	M	50	19
2417	F	N/A	N/A
2418	M	N/A	7
2419	N/A	45	N/A
2420	M	1	10
2421	M	18	4
2422	F	45	13
2423	M	35	19
2424	F	25	2
2425	F	25	1
2426	M	56	0
2427	M	45	0
2428	M	25	7
2429	M	25	12
2430	F	25	7
2431	M	45	1
2432	M	56	13
2433	M	18	4
2434	M	25	0
2435	N/A	35	17
2436	M	1	10
2437	F	25	7
2438	F	18	14
2439	M	18	0
2440	M	56	16
2441	M	50	20
2442	M	25	N/A
2443	M	25	N/A
2444	M	35	7
2445	M	35	N/A
2446	N/A	18	4
2447	M	18	15
2448	M	25	17
2449	M	35	7
2450	M	N/A	N/A
2451	M	35	17
2452	M	N/A	10
2453	F	50	4
2454	M	35	15
2455	M	45	8
2456	F	25	17
2457	M	45	7
2458	M	45	16
2459	M	25	20
2460	M	25	17
2461	M	N/A	1
2462	F	56	12
2463	M	25	7
2464	M	35	16
2465	M	35	2
2466	F	1	10
2467	F	50	5
2468	M	25	1
2469	F	35	2
2470	M	N/A	20
2471	M	25	N/A
2472	F	25	15
2473	M	18	14
2474	M	25	14
2475	M	25	17
2476	N/A	50	12
2477	M	45	1
2478	F	18	4
2479	F	25	0
2480	M	25	N/A
2481	M	N/A	1
2482	N/A	25	12
2483	F	25	7
2484	M	25	7
2485	F	1	10
2486	F	18	4
2487	F	25	14
2488	M	35	6
2489	N/A	N/A	14
2490	N/A	N/A	N/A
2491	F	25	3
2492	F	35	16
2493	M	25	6
2494	N/A	50	0
2495	M	35	12
2496	M	18	4
2497	F	25	2
2498	N/A	50	1
2499	F	18	4
2500	F	25	1
2501	M	25	12
2502	M	N/A	7
2503	M	35	17
2504	N/A	35	N/A
2505	M	25	12
2506	M	45	1
2507	M	25	20
2508	M	25	12
2509	F	50	1
2510	F	25	6
2511	F	25	3
2512	F	N/A	16
2513	F	25	14
2514	M	18	4
2515	M	1	N/A
2516	M	35	12
2517	M	35	0
2518	M	50	14
2519	F	N/A	4
2520	F	35	7
2521	F	18	1
2522	F	N/A	1
2523	F	N/A	3
2524	M	25	7
2525	F	45	2
2526	F	18	4
2527	M	25	1
2528	F	18	4
2529	M	N/A	17
2530	M	18	4
2531	M	18	N/A
2532	F	18	3
2533	M	N/A	20
2534	M	35	N/A
2535	M	45	1
2536	M	25	4
2537	M	18	4
2538	M	25	7
2539	N/A	18	4
2540	F	25	1
2541	F	25	17
2542	M	56	14
2543	N/A	18	4
2544	F	25	4
2545	M	N/A	14
2546	M	18	5
2547	F	35	17
2548	F	1	19
2549	M	56	11
2550	M	25	N/A
2551	M	35	15
2552	M	35	7
2553	M	N/A	0
2554	M	35	13
2555	M	25	16
2556	N/A	25	4
2557	F	25	0
2558	N/A	25	16
2559	M	25	4
2560	F	45	2
2561	M	25	0
2562	F	50	6
2563	F	25	0
2564	M	25	0
2565	M	50	20
2566	M	35	19
2567	N/A	25	4
2568	M	25	N/A
2569	M	25	18
2570	N/A	18	N/A
2571	M	25	0
2572	F	35	1
2573	M	25	4
2574	N/A	35	7
2575	M	18	N/A
2576	M	N/A	20
2577	M	56	12
2578	F	45	1
2579	M	25	20
2580	M	18	20
2581	M	45	1
2582	F	50	1
2583	F	35	7
2584	M	56	13
2585	M	56	1
2586	M	25	4
2587	M	18	N/A
2588	F	18	4
2589	F	1	10
2590	M	18	17
2591	M	35	17
2592	M	25	0
2593	F	50	17
2594	M	18	4
2595	M	18	4
2596	M	35	2
2597	F	18	N/A
2598	M	25	N/A
2599	M	35	17
2600	M	56	7
2601	M	56	17
2602	M	50	1
2603	N/A	35	15
2604	M	18	4
2605	M	35	17
2606	N/A	25	12
2607	M	50	N/A
2608	M	18	3
2609	M	N/A	6
2610	F	25	7
2611	M	45	7
2612	M	N/A	4
2613	M	35	2
2614	M	18	14
2615	M	35	0
2616	F	25	N/A
2617	M	35	14
2618	M	25	7
2619	M	45	1
2620	F	35	6
2621	F	35	16
2622	M	18	17
2623	M	25	12
2624	M	18	12
2625	M	25	17
2626	M	25	17
2627	F	25	1
2628	M	N/A	0
2629	M	N/A	8
2630	M	56	1
2631	F	56	0
2632	M	18	0
2633	F	25	1
2634	N/A	25	1
2635	M	35	0
2636	F	18	4
2637	M	35	17
2638	M	25	0
2639	M	18	19
2640	N/A	50	0
2641	N/A	35	16
2642	M	25	14
2643	F	N/A	3
2644	M	50	13
2645	M	25	18
2646	F	N/A	0
2647	M	18	19
2648	M	35	7
2649	M	50	7
2650	N/A	25	20
2651	M	N/A	17
2652	M	N/A	18
2653	M	50	1
2654	F	56	13
2655	M	56	N/A
2656	N/A	18	10
2657	M	25	4
2658	N/A	25	7
2659	M	25	15
2660	M	25	9
2661	M	25	15
2662	M	35	N/A
2663	M	25	4
2664	M	25	17
2665	M	35	12
2666	N/A	25	15
2667	M	25	N/A
2668	M	35	1
2669	M	18	4
2670	N/A	18	1
2671	M	35	7
2672	F	45	6
2673	M	50	7
2674	M	25	N/A
2675	M	56	1
2676	M	35	1
2677	F	25	0
2678	N/A	56	13
2679	F	18	5
2680	M	18	20
2681	M	56	13
2682	F	18	4
2683	F	35	2
2684	N/A	35	20
2685	N/A	18	4
2686	F	25	14
2687	M	45	11
2688	M	45	1
2689	F	45	7
2690	M	N/A	15
2691	M	45	0
2692	N/A	25	17
2693	M	35	14
2694	F	18	0
2695	M	25	4
2696	M	50	0
2697	M	18	12
2698	M	18	0
2699	M	18	N/A
2700	M	18	4
2701	M	N/A	12
2702	M	50	20
2703	F	50	0
2704	F	25	0
2705	M	N/A	6
2706	F	50	0
2707	M	50	20
2708	M	35	7
2709	M	25	11
2710	N/A	50	0
2711	M	25	7
2712	M	25	17
2713	M	50	7
2714	M	18	4
2715	F	45	N/A
2716	M	25	4
2717	M	25	4
2718	N/A	25	11
2719	F	18	0
2720	M	50	6
2721	M	35	20
2722	F	N/A	13
2723	M	18	N/A
2724	M	25	17
2725	F	N/A	4
2726	M	45	17
2727	M	25	11
2728	M	18	20
2729	F	18	10
2730	M	50	12
2731	M	25	11
2732	M	25	4
2733	N/A	25	0
2734	F	25	6
2735	M	35	7
2736	F	25	16
2737	M	18	14
2738	F	18	1
2739	M	25	N/A
2740	F	18	4
2741	F	35	12
2742	M	35	0
2743	M	35	20
2744	F	18	17
2745	M	N/A	7
2746	M	35	0
2747	F	N/A	10
2748	F	45	12
2749	M	18	2
2750	M	25	12
2751	M	45	0
2752	M	56	11
2753	F	25	N/A
2754	M	18	N/A
2755	M	18	20
2756	N/A	25	7
2757	M	25	12
2758	M	25	17
2759	F	1	10
2760	M	25	0
2761	N/A	18	4
2762	M	50	0
2763	M	N/A	N/A
2764	F	25	N/A
2765	M	25	15
2766	N/A	N/A	12
2767	M	50	13
2768	F	35	2
2769	M	25	17
2770	F	18	20
2771	M	45	0
2772	F	25	1
2773	F	N/A	16
2774	M	N/A	17
2775	N/A	N/A	14
2776	N/A	N/A	17
2777	F	25	20
2778	M	18	14
2779	M	25	14
2780	M	56	13
2781	M	25	1
2782	M	25	0
2783	F	25	3
2784	M	45	18
2785	M	56	0
2786	F	N/A	7
2787	M	50	20
2788	M	18	4
2789	M	50	0
2790	M	18	4
2791	M	56	12
2792	F	25	1
2793	M	35	1
2794	F	35	1
2795	N/A	35	6
2796	M	18	4
2797	M	18	0
2798	M	35	2
2799	M	50	14
2800	M	45	7
2801	M	1	N/A
2802	F	56	13
2803	M	25	12
2804	M	25	0
2805	M	18	0
2806	M	35	3
2807	F	25	0
2808	F	18	4
2809	M	18	4
2810	N/A	25	0
2811	F	18	4
2812	F	50	N/A
2813	M	35	16
2814	M	25	12
2815	M	25	N/A
2816	M	18	12
2817	M	N/A	16
2818	M	18	17
2819	M	N/A	4
2820	M	25	7
2821	F	25	3
2822	M	N/A	4
2823	M	25	20
2824	F	25	12
2825	M	N/A	14
2826	N/A	45	0
2827	M	35	0
2828	M	18	20
2829	M	25	12
2830	M	35	7
2831	M	1	10
2832	M	25	20
2833	M	45	16
2834	M	25	1
2835	M	N/A	7
2836	M	50	17
2837	F	25	0
2838	M	18	12
2839	M	25	N/A
2840	M	N/A	7
2841	M	25	17
2842	M	25	3
2843	M	45	12
2844	M	35	7
2845	F	25	16
2846	N/A	25	N/A
2847	F	25	16
2848	M	N/A	17
2849	M	25	17
2850	M	18	0
2851	N/A	25	20
2852	F	18	1
2853	M	35	11
2854	M	18	12
2855	M	25	16
2856	M	18	4
2857	F	56	13
2858	N/A	18	0
2859	F	25	N/A
2860	F	25	2
2861	M	45	12
2862	M	35	6
2863	N/A	25	2
2864	M	1	10
2865	F	45	1
2866	M	25	17
2867	M	25	11
2868	N/A	25	17
2869	M	25	0
2870	F	56	2
2871	F	25	6
2872	N/A	N/A	16
2873	M	N/A	6
2874	F	18	2
2875	M	25	17
2876	M	25	16
2877	M	25	12
2878	N/A	35	14
2879	N/A	25	1
2880	N/A	56	0
2881	M	18	4
2882	M	25	17
2883	M	45	1
2884	M	1	19
2885	M	25	7
2886	M	45	16
2887	M	35	12
2888	M	1	10
2889	M	35	0
2890	F	18	9
2891	M	25	12
2892	M	25	17
2893	M	N/A	N/A
2894	M	25	20
2895	M	N/A	15
2896	M	18	0
2897	M	25	1
2898	N/A	25	17
2899	M	25	0
2900	M	25	12
2901	M	N/A	N/A
2902	F	25	N/A
2903	M	18	12
2904	F	45	16
2905	F	18	N/A
2906	M	18	17
2907	N/A	56	20
2908	F	50	7
2909	M	45	0
2910	M	35	6
2911	M	25	17
2912	F	25	N/A
2913	N/A	1	10
2914	M	25	12
2915	M	45	16
2916	M	25	15
2917	F	56	3
2918	M	45	7
2919	F	25	7
2920	N/A	35	1
2921	F	45	2
2922	M	18	4
2923	M	18	15
2924	M	35	17
2925	F	18	4
2926	M	50	0
2927	F	25	7
2928	M	25	1
2929	F	25	2
2930	F	18	4
2931	M	35	0
2932	M	35	12
2933	M	35	7
2934	M	25	16
2935	M	18	4
2936	F	56	8
2937	M	18	4
2938	F	N/A	0
2939	N/A	25	0
2940	M	35	0
2941	F	35	20
2942	M	25	2
2943	M	25	0
2944	N/A	35	0
2945	M	45	12
2946	M	45	1
2947	M	35	17
2948	M	18	4
2949	M	18	3
2950	M	45	7
2951	F	35	19
2952	N/A	25	12
2953	N/A	25	4
2954	M	25	N/A
2955	M	35	7
2956	M	45	0
2957	M	N/A	10
2958	M	18	N/A
2959	M	50	12
2960	M	50	5
2961	M	25	12
2962	M	35	1
2963	M	35	20
2964	M	1	N/A
2965	M	18	2
2966	N/A	25	4
2967	M	45	1
2968	M	18	0
2969	F	25	0
2970	N/A	18	4
2971	N/A	25	16
2972	M	25	7
2973	F	50	4
2974	M	1	0
2975	M	N/A	12
2976	F	25	0
2977	M	25	4
2978	N/A	18	15
2979	F	56	6
2980	M	25	0
2981	F	56	6
2982	M	25	2
2983	F	25	15
2984	M	N/A	17
2985	M	35	0
2986	F	35	6
2987	F	35	16
2988	F	35	20
2989	M	50	7
2990	M	18	4
2991	F	45	6
2992	F	35	1
2993	M	45	18
2994	M	N/A	7
2995	F	N/A	N/A
2996	M	1	10
2997	M	18	10
2998	M	25	N/A
2999	N/A	35	N/A
3000	M	35	11
3001	M	25	1
3002	F	50	0
3003	M	18	N/A
3004	M	18	2
3005	F	25	N/A
3006	M	N/A	12
3007	M	50	N/A
3008	F	25	17
3009	F	35	3
3010	M	35	17
3011	M	56	17
3012	F	18	4
3013	M	56	13
3014	M	50	16
